Year,Race,Driver,Team,LapNumber,Compound,TyreLife,Stint,Position,TrackStatus,LapTimeSeconds,DrivingStyleCluster,DrivingStyle
2024.0,Spain,HAM,Mercedes,56.0,SOFT,16.0,3.0,3.0,1.0,78.432,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,57.0,SOFT,17.0,3.0,3.0,1.0,78.623,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,58.0,SOFT,18.0,3.0,3.0,1.0,78.688,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,59.0,SOFT,19.0,3.0,3.0,1.0,78.64,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,60.0,SOFT,20.0,3.0,3.0,1.0,78.635,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,61.0,SOFT,21.0,3.0,3.0,1.0,78.839,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,62.0,SOFT,22.0,3.0,3.0,1.0,79.337,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,63.0,SOFT,23.0,3.0,3.0,1.0,78.942,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,64.0,SOFT,24.0,3.0,3.0,1.0,79.166,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,65.0,SOFT,25.0,3.0,3.0,1.0,79.009,3.0,Fast & Efficient Driver
2024.0,Spain,HAM,Mercedes,66.0,SOFT,26.0,3.0,3.0,1.0,80.041,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,1.0,SOFT,4.0,1.0,1.0,1.0,82.568,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,2.0,SOFT,5.0,1.0,1.0,1.0,79.857,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,3.0,SOFT,6.0,1.0,2.0,1.0,81.103,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,4.0,SOFT,7.0,1.0,2.0,1.0,80.843,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,5.0,SOFT,8.0,1.0,2.0,1.0,80.923,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,6.0,SOFT,9.0,1.0,2.0,1.0,81.07,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,7.0,SOFT,10.0,1.0,2.0,1.0,81.306,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,8.0,SOFT,11.0,1.0,2.0,1.0,81.436,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,9.0,SOFT,12.0,1.0,2.0,1.0,81.168,3.0,Fast & Efficient Driver
2024.0,Spain,RUS,Mercedes,10.0,SOFT,13.0,1.0,2.0,1.0,81.308,3.0,Fast & Efficient Driver
