Driver,TyreLife,LapTimeSeconds
SAR,6.0,92.19215789473685
SAR,7.0,92.24421052631578
SAR,8.0,92.134
SAR,9.0,91.71394444444444
SAR,10.0,91.40935294117648
SAR,11.0,91.33717647058823
SAR,12.0,91.66929411764706
SAR,13.0,90.4284
SAR,14.0,91.08446666666667
SAR,15.0,90.55384615384615
SAR,16.0,90.77961538461538
SAR,17.0,90.98941666666667
SAR,18.0,90.82033333333334
SAR,19.0,86.277
SAR,20.0,86.8892
SAR,21.0,87.44425
SAR,22.0,88.15575
SAR,23.0,83.99
SAR,24.0,82.947
SAR,25.0,83.325
SAR,26.0,84.70366666666666
SAR,27.0,82.94266666666667
SAR,28.0,82.831
SAR,29.0,83.16866666666667
SAR,30.0,86.1915
SAR,31.0,87.176
SAR,32.0,89.385
SAR,33.0,87.686
SAR,34.0,87.502
SAR,35.0,87.709
SAR,36.0,87.622
SAR,37.0,87.44
SAR,38.0,87.742
SAR,39.0,89.626
STR,1.0,110.11872727272727
STR,2.0,97.68563636363636
STR,3.0,92.27954545454546
STR,4.0,92.08203999999999
STR,5.0,92.05157142857142
STR,6.0,91.40272413793103
STR,7.0,91.33662068965518
STR,8.0,91.38827586206898
STR,9.0,91.42837931034482
STR,10.0,90.86611538461537
STR,11.0,90.45508
STR,12.0,90.94228
STR,13.0,91.17211538461538
STR,14.0,90.34938461538461
STR,15.0,91.14670370370371
STR,16.0,91.619
STR,17.0,91.36358333333334
STR,18.0,92.20561904761905
STR,19.0,91.08200000000001
STR,20.0,92.07593333333332
STR,21.0,91.28672727272728
STR,22.0,92.5008
STR,23.0,92.72022222222222
STR,24.0,93.891
STR,25.0,91.54485714285714
STR,26.0,91.58757142857142
STR,27.0,93.09785714285714
STR,28.0,88.5338
STR,29.0,89.2168
STR,30.0,90.55525
STR,31.0,88.34866666666666
STR,32.0,88.66733333333333
STR,33.0,93.9915
STR,34.0,95.56
STR,35.0,98.931
STR,36.0,99.845
TSU,1.0,107.09658823529412
TSU,2.0,91.88366666666667
TSU,3.0,90.68409090909091
TSU,4.0,93.29915999999999
TSU,5.0,91.10557692307692
TSU,6.0,91.28719230769231
TSU,7.0,91.21164
TSU,8.0,91.50938461538462
TSU,9.0,91.47104166666666
TSU,10.0,91.90704166666667
TSU,11.0,92.32600000000001
TSU,12.0,92.27133333333333
TSU,13.0,92.22686363636363
TSU,14.0,91.73920000000001
TSU,15.0,91.50884210526316
TSU,16.0,89.6376875
TSU,17.0,89.25578571428571
TSU,18.0,90.27361538461538
TSU,19.0,90.48575
TSU,20.0,90.606
TSU,21.0,89.24666666666667
TSU,22.0,90.06042857142857
TSU,23.0,89.58733333333333
TSU,24.0,89.5102
TSU,25.0,90.8125
TSU,26.0,90.79724999999999
TSU,27.0,91.56875
TSU,28.0,92.19633333333333
TSU,29.0,92.15833333333335
TSU,30.0,92.35133333333333
TSU,31.0,92.79966666666667
TSU,32.0,89.5925
TSU,33.0,107.942
VER,1.0,106.57836363636365
VER,2.0,89.83460869565216
VER,3.0,90.52808333333333
VER,4.0,91.2695
VER,5.0,90.9541
VER,6.0,89.94186666666666
VER,7.0,89.88036666666667
VER,8.0,90.11270967741936
VER,9.0,90.1435806451613
VER,10.0,90.32733333333334
VER,11.0,90.40490625
VER,12.0,90.7283
VER,13.0,90.5255
VER,14.0,91.39144827586206
VER,15.0,90.58224137931035
VER,16.0,90.70464285714286
VER,17.0,91.03892
VER,18.0,89.72122727272728
VER,19.0,89.61328571428572
VER,20.0,89.65194736842105
VER,21.0,88.16564285714286
VER,22.0,87.58827272727272
VER,23.0,88.704125
VER,24.0,88.447375
VER,25.0,88.79725
VER,26.0,89.77485714285714
VER,27.0,93.2116
VER,28.0,96.08324999999999
VER,29.0,98.09700000000001
VER,30.0,94.89533333333333
VER,31.0,94.705
VER,32.0,98.023
VER,33.0,98.509
VER,34.0,100.378
VER,35.0,100.266
VER,36.0,100.372
VER,37.0,100.224
VER,38.0,100.61
VER,39.0,101.173
VER,40.0,108.808
VET,2.0,100.875
VET,3.0,88.7365
VET,4.0,94.70733333333334
VET,5.0,88.93925
VET,6.0,94.81739999999999
VET,7.0,94.4474
VET,8.0,94.1044
VET,9.0,94.7758
VET,10.0,95.491
VET,11.0,94.7898
VET,12.0,97.28933333333333
VET,13.0,95.1805
VET,14.0,94.88425000000001
VET,15.0,94.9155
VET,16.0,94.77725000000001
VET,17.0,95.09425
VET,18.0,94.894
VET,19.0,94.965
VET,20.0,94.98725
VET,21.0,95.174
VET,22.0,94.77925
VET,23.0,94.951
VET,24.0,96.68125
VET,25.0,112.728
ZHO,1.0,107.58689473684211
ZHO,2.0,91.88712500000001
ZHO,3.0,91.40969230769231
ZHO,4.0,94.05744827586207
ZHO,5.0,91.58231034482759
